index,Full_name,Nationality,is_ovr,Overall,Potential,Age,Position,is_time,played_time
293,Firas Al Buraikan,Saudi Arabia,0,0,0,0,0,0,0
294,Salem Al Dawsari,Saudi Arabia,1,77,77,30,LW,1,1512
295,Saleh Al Shehri,Saudi Arabia,1,68,68,28,ST,1,830
296,Saud Abdulhamid,Saudi Arabia,1,71,77,22,RB,1,483
297,Yasser Al Shahrani,Saudi Arabia,1,73,73,30,LB,0,0
298,Abdullah Otayf,Saudi Arabia,0,0,0,0,0,0,0
299,Ali Al Hassan,Saudi Arabia,1,66,71,25,CDM,0,0
300,Sami Al Najei,Saudi Arabia,0,0,0,0,0,0,0
301,Hassan Al Tambakti,Saudi Arabia,0,0,0,0,0,0,0
302,Nawaf Al Abed,Saudi Arabia,1,70,70,32,CAM,1,961
303,Hattan Bahebri,Saudi Arabia,1,69,69,29,LW,0,0
304,Abdulrahman Al Aboud,Saudi Arabia,0,0,0,0,0,0,0
305,Mohammed Al Owais,Saudi Arabia,1,69,69,30,GK,1,1329
306,Nawaf Al Aqidi,Saudi Arabia,1,58,67,22,GK,0,0
307,Mohamed Kanno,Saudi Arabia,0,0,0,0,0,0,0
308,Nasser Al Dawsari,Saudi Arabia,1,67,75,23,LM,1,515
309,Haitham Asiri,Saudi Arabia,0,0,0,0,0,0,0
310,Riyadh Sharahili,Saudi Arabia,1,65,65,29,CDM,1,179
311,Mathew Ryan,Australia,1,78,78,30,GK,1,1830
312,Miloš Degenek,Australia,1,72,73,28,CB,0,0
313,Nathaniel Atkinson,Australia,1,68,76,23,RM,1,354
314,Kye Rowles,Australia,1,67,73,24,CB,1,270
315,Fran Karačić,Australia,1,69,72,26,RWB,0,0
316,Marco Tilio,Australia,1,65,78,20,CAM,1,124
317,Mathew Leckie,Australia,1,71,71,31,LM,1,864
318,Bailey Wright,Australia,1,68,68,29,CB,1,360
319,Jamie Maclaren,Australia,0,0,0,0,0,0,0
320,Ajdin Hrustic,Australia,0,0,0,0,0,0,0
321,Awer Mabil,Australia,1,70,70,26,LM,1,21
322,Andrew Redmayne,Australia,1,65,65,33,GK,1,142
323,Aaron Mooy,Australia,1,76,76,31,CM,1,794
324,Riley McGree,Australia,1,71,78,23,LM,1,177
325,Mitchell Duke,Australia,1,67,67,31,ST,1,641
326,Aziz Behich,Australia,1,70,70,31,LB,1,1443
327,Cameron Devlin,Australia,1,70,77,24,CDM,1,27
328,Danny Vukovic,Australia,1,70,70,37,GK,0,0
329,Harry Souttar,Australia,1,72,77,23,CB,0,0
330,Thomas Deng,Australia,1,65,67,25,CB,1,90
331,Garang Kuol,Australia,1,60,82,17,RM,0,0
332,Jackson Irvine,Australia,1,70,70,29,CM,1,1632
333,Craig Goodwin,Australia,1,75,75,30,LM,1,244
334,Joel King,Australia,1,65,77,21,LB,1,180
335,Jason Cummings,Australia,1,68,69,26,ST,0,0
336,Keanu Baccus,Australia,1,68,71,24,CDM,0,0
337,Kasper Schmeichel,Denmark,1,83,83,35,GK,1,900
338,Joachim Andersen,Denmark,1,77,80,26,CDM,1,333
339,Victor Nelsson,Denmark,1,75,81,23,CB,1,90
340,Simon Kjær,Denmark,1,82,82,33,CB,1,688
341,Joakim Mæhle,Denmark,1,76,79,25,RWB,1,760
342,Andreas Christensen,Denmark,1,82,86,26,CB,1,810
343,Mathias Jensen,Denmark,1,74,77,26,CM,1,202
344,Thomas Delaney,Denmark,1,81,81,30,CDM,1,519
345,Martin Braithwaite,Denmark,1,76,76,31,ST,1,167
346,Christian Eriksen,Denmark,1,82,82,30,CM,1,193
347,Andreas Skov Olsen,Denmark,1,76,83,22,LM,1,580
348,Kasper Dolberg,Denmark,1,77,81,24,ST,1,193
349,Rasmus Kristensen,Denmark,1,77,82,24,RWB,1,127
